TransactionID,Date,Amount,Region,Department,CustomerID,TransactionType,RiskScore,IsFraud,RelatedComplianceCheckID
T100089,28-10-2024,809.71,East,Support,C1241,Payment,6.54,0,
T100090,17-03-2024,1721.72,West,Support,C1608,Payment,6.64,0,C200024
T100091,31-03-2025,391.84,West,Support,C2499,Payment,6.94,0,
T100092,30-04-2025,2883.48,West,Online,C2990,Payment,6.2,0,
T100093,24-12-2024,1199.46,West,Retail,C1611,Payment,4.29,0,
T100094,06-05-2025,172.62,North,Corporate,C2022,Deposit,5.92,0,
T100095,11-11-2024,5720.59,West,Retail,C2507,Payment,6.27,0,C200025
T100096,29-11-2024,597.28,West,Online,C1945,Withdrawal,0.7,0,
T100097,29-09-2024,148.09,Central,Retail,C2448,Payment,4.62,0,
T100098,17-01-2024,2932.16,West,Online,C1865,Payment,7.24,0,
T100099,09-03-2024,4882.11,West,Risk,C2989,Deposit,7.94,0,C200026
T100100,21-01-2024,387.75,East,Risk,C2250,Payment,3.61,0,
T100101,10-02-2025,220.44,Central,Corporate,C1154,Deposit,4.91,0,C200027
T100102,19-07-2024,328.04,Central,Risk,C1541,Payment,5.27,0,
T100103,20-11-2024,951.16,West,Corporate,C1159,Deposit,6.06,0,
T100104,02-08-2025,1869.5,East,Support,C2234,Payment,5.08,0,C200028
T100105,08-06-2024,799.98,North,Online,C1789,Payment,5.63,0,
T100106,18-09-2024,455.81,West,Support,C2748,Transfer,6.15,0,
T100107,27-04-2025,2434.79,West,Support,C2604,Withdrawal,3.73,0,
T100108,25-05-2024,277.16,West,Corporate,C2684,Payment,4.44,0,
T100109,19-02-2024,1390.06,North,Online,C1488,Deposit,6.79,0,
T100110,03-07-2024,285.52,West,Corporate,C2279,Transfer,6.41,0,C200029
T100111,12-04-2024,676.7,South,Retail,C1055,Payment,6.94,0,C200030
T100112,16-08-2025,352.03,West,Support,C1851,Payment,5.76,0,
T100113,30-05-2025,377.28,South,Online,C2765,Payment,6.92,0,
T100114,08-02-2025,256.5,West,Support,C2182,Payment,5.58,0,
T100115,09-07-2025,2026.01,South,Retail,C1868,Payment,3.07,0,
T100116,27-05-2025,167.42,North,Retail,C2978,Withdrawal,3.57,0,
T100117,29-04-2024,165.96,West,Online,C1965,Transfer,5.81,0,
T100118,23-07-2025,5141.97,North,Online,C2118,Payment,5.9,0,
T100119,10-12-2024,1304.29,West,Retail,C2262,Payment,7.11,0,
T100120,30-05-2025,23.05,Central,Support,C1682,Deposit,3.67,0,
T100121,25-07-2025,204.73,Central,Risk,C1215,Payment,6.51,0,
T100122,21-07-2024,45.86,South,Support,C2461,Payment,2.69,0,
T100123,11-03-2024,128.92,West,Risk,C2781,Transfer,1.72,0,
T100124,25-05-2024,9.34,South,Corporate,C1145,Withdrawal,1.89,0,
T100125,29-09-2024,342.27,Central,Online,C2974,Deposit,2.9,0,
T100126,05-06-2025,102.48,West,Retail,C2531,Deposit,3.21,0,C200031
T100127,03-07-2025,433.5,North,Corporate,C2820,Deposit,1.42,0,
T100128,05-01-2024,57.39,South,Support,C1123,Payment,3.38,0,
T100129,21-11-2024,445.63,South,Risk,C2724,Payment,5.31,0,
T100130,23-09-2024,245.21,West,Online,C1818,Transfer,4.96,0,
T100131,21-05-2024,2446.33,South,Risk,C1331,Payment,7.17,1,C200032
T100132,17-03-2024,2194.32,West,Support,C2291,Payment,6.3,0,
T100133,03-08-2024,1035.27,East,Support,C1604,Payment,4.61,0,
T100134,24-08-2025,272.62,Central,Retail,C1188,Payment,5.95,0,
T100135,25-07-2024,4369.73,Central,Corporate,C2606,Payment,7.25,0,
T100136,26-11-2024,62.57,East,Online,C1143,Payment,3.34,0,
T100137,24-03-2025,74.87,West,Retail,C2151,Payment,3.42,0,C200033
T100138,19-08-2024,364.84,Central,Risk,C2547,Withdrawal,3.91,0,
T100139,11-09-2025,6032.07,Central,Corporate,C1829,Transfer,8.17,0,C200034
T100140,06-09-2025,316.46,North,Online,C1724,Deposit,4.6,0,
T100141,09-06-2024,323.79,South,Risk,C2987,Payment,5.63,0,
T100142,13-11-2024,71.5,South,Online,C2385,Payment,1.12,0,
T100143,10-07-2024,1255.28,East,Online,C2595,Payment,5.7,0,
T100144,30-06-2024,1266.25,North,Corporate,C1848,Transfer,5.87,0,C200035
T100145,24-01-2024,1039.91,East,Risk,C2819,Withdrawal,3.99,0,
T100146,23-01-2025,189.6,West,Retail,C1831,Payment,3.3,0,
T100147,16-11-2024,172.77,East,Retail,C1606,Deposit,5.03,0,
T100148,02-02-2024,85.48,West,Retail,C1071,Transfer,4.36,0,
T100149,26-06-2024,446.15,North,Online,C1621,Payment,5.15,0,
T100150,02-08-2025,110.33,Central,Support,C1945,Transfer,5.38,0,
T100151,01-06-2024,98.21,Central,Corporate,C2305,Transfer,4.42,0,C200036
T100152,02-04-2024,242.64,East,Retail,C2447,Payment,6.05,0,
T100153,08-11-2024,224.31,Central,Corporate,C2901,Payment,3.22,0,
T100154,20-09-2025,211.54,North,Online,C1438,Withdrawal,4.56,0,C200037
T100155,03-06-2024,706.08,West,Corporate,C2647,Transfer,5.23,0,
T100156,04-03-2025,443.57,North,Retail,C1158,Payment,3.33,0,C200038
T100157,30-04-2025,285.49,South,Retail,C2746,Deposit,6.61,0,C200039
T100158,31-05-2024,502.51,South,Online,C2917,Payment,4.33,0,
T100159,09-04-2025,122.75,East,Online,C2274,Payment,4.36,0,
T100160,22-08-2024,457.76,South,Risk,C2350,Payment,4.22,0,C200040
T100161,07-02-2025,483.34,West,Online,C1624,Deposit,6.22,0,C200041
T100162,08-02-2025,66.44,South,Support,C2540,Transfer,3.16,0,C200042
T100163,07-12-2024,1332.53,Central,Support,C2676,Transfer,5.25,0,C200043
T100164,27-02-2024,140.09,West,Retail,C1913,Deposit,4.01,0,C200044
T100165,16-06-2025,449.61,North,Online,C1337,Withdrawal,4.9,0,C200045
T100166,23-07-2024,1631.56,South,Support,C1754,Payment,5.04,0,C200046
T100167,28-04-2024,1225.14,Central,Support,C2654,Withdrawal,4.58,0,
T100168,27-01-2024,420.4,South,Risk,C2841,Withdrawal,4.1,0,
T100169,11-01-2025,261.13,East,Online,C2663,Payment,4.23,0,
T100170,08-03-2025,1257.67,West,Risk,C2107,Payment,5.85,0,
T100171,11-01-2024,906.54,South,Corporate,C2779,Withdrawal,4.8,0,C200047
T100172,22-11-2024,192.09,South,Risk,C2136,Payment,2.84,0,C200048
T100173,24-05-2024,155.42,East,Corporate,C1982,Payment,2.6,0,C200049
T100174,15-02-2025,33.55,North,Corporate,C1675,Withdrawal,1.9,0,
T100175,21-04-2024,485.33,South,Online,C1368,Deposit,5.25,0,
T100176,16-03-2025,365.32,North,Corporate,C1626,Payment,5.7,0,
T100177,03-09-2024,1577.24,South,Corporate,C2127,Payment,4.35,0,
T100178,20-08-2025,620.71,South,Risk,C2203,Transfer,5.53,0,
T100179,28-03-2024,2000.35,Central,Online,C2312,Transfer,6.29,0,C200050
T100180,05-08-2024,174.72,East,Online,C2471,Deposit,6.34,0,
T100181,13-03-2024,1580.95,West,Corporate,C2990,Transfer,8.47,0,C200051
T100182,12-08-2025,213.86,North,Risk,C2255,Transfer,5.55,0,
T100183,13-07-2025,1025.68,North,Risk,C2348,Deposit,6.22,0,
T100184,13-06-2024,70.07,West,Risk,C2375,Payment,4.14,0,
T100185,25-02-2025,534.94,West,Risk,C1968,Payment,4.04,0,
T100186,05-06-2025,37.28,North,Retail,C1669,Transfer,1.69,0,
T100187,20-12-2024,292.78,South,Corporate,C2631,Payment,2.63,0,
T100188,03-12-2024,684.32,East,Corporate,C2254,Payment,5.28,0,C200052
T100189,03-06-2024,215.9,Central,Corporate,C1323,Payment,3.38,0,C200053
T100190,29-02-2024,114.37,North,Online,C1789,Transfer,4.79,0,
T100191,26-07-2025,1113.59,East,Online,C1826,Deposit,4.09,0,
T100192,28-07-2025,356.33,West,Risk,C1263,Payment,4.94,0,
T100193,07-02-2025,224.19,Central,Online,C1449,Transfer,3.39,0,
T100194,04-08-2024,424.23,West,Support,C1548,Payment,3.1,0,
T100195,10-08-2024,9547.2,South,Corporate,C2634,Transfer,5.97,0,
T100196,08-04-2025,1610.34,West,Corporate,C2764,Transfer,4.92,0,
T100197,26-07-2025,1627.97,West,Retail,C2335,Deposit,5.68,0,
T100198,19-07-2025,680.38,West,Retail,C2212,Payment,4.36,0,
T100199,12-05-2025,492.64,Central,Support,C2621,Payment,3.75,0,C200054
T100200,13-02-2025,22.75,Central,Retail,C1064,Payment,1.77,0,
T100201,23-02-2024,178.61,North,Risk,C2638,Transfer,0,0,
T100202,13-04-2024,226.63,North,Risk,C1425,Deposit,3.86,0,C200055
T100203,27-07-2025,42.53,West,Corporate,C1623,Deposit,3.19,0,
T100204,21-01-2025,100.59,South,Risk,C1352,Payment,3.24,0,
T100205,06-01-2024,37.45,North,Retail,C1944,Withdrawal,3.3,0,
T100206,05-03-2024,385.3,South,Support,C1579,Payment,5.85,0,
T100207,27-02-2025,1077.63,West,Risk,C2007,Payment,6.68,0,C200056
T100208,04-01-2024,1522.53,North,Corporate,C2160,Deposit,6.83,0,C200057
T100209,12-04-2024,663.64,West,Corporate,C1135,Payment,4.33,0,C200058
T100210,16-12-2024,126.97,North,Retail,C2337,Payment,2.8,0,
T100211,17-03-2025,39.71,North,Risk,C2010,Payment,2.43,0,
T100212,19-02-2025,49,South,Retail,C1725,Payment,3.98,0,C200059
T100213,23-05-2024,87.99,North,Corporate,C2520,Payment,4.03,0,
T100214,30-03-2025,138.85,Central,Support,C2897,Withdrawal,3.06,0,
T100215,31-05-2024,333.05,Central,Risk,C1752,Payment,5.88,0,C200060
T100216,26-07-2024,119.46,West,Support,C1309,Payment,2.54,0,C200061
T100217,21-04-2025,605.93,South,Risk,C2620,Payment,4.38,0,
T100218,18-02-2025,305.29,East,Corporate,C2583,Transfer,4.78,0,
T100219,25-06-2025,408.57,North,Risk,C2461,Withdrawal,5.73,0,C200062
T100220,23-02-2025,1584.94,South,Corporate,C2384,Deposit,7.07,0,
T100221,28-12-2024,97.88,East,Online,C1155,Deposit,4.1,0,C200063
T100222,29-02-2024,666.77,West,Corporate,C2636,Payment,3.59,0,
T100223,22-08-2024,396.72,North,Corporate,C1961,Deposit,5.98,0,
T100224,18-06-2024,270.38,South,Risk,C1365,Payment,3.19,0,
T100225,04-06-2024,1167.14,Central,Support,C2104,Payment,4.89,0,C200064
T100226,12-09-2025,1158.43,East,Corporate,C2663,Withdrawal,4.28,0,C200065
T100227,07-09-2024,129.57,Central,Risk,C2694,Payment,3.82,0,C200066
T100228,23-07-2025,324.22,Central,Corporate,C2260,Payment,3.34,0,C200067
T100229,06-02-2025,565.36,East,Retail,C2420,Deposit,5.53,0,
T100230,22-05-2025,290.73,South,Retail,C2082,Withdrawal,4.99,0,
T100231,16-11-2024,814.05,West,Retail,C2260,Payment,6.12,0,
T100232,03-01-2025,565.34,North,Retail,C2533,Withdrawal,5.3,0,
T100233,10-11-2024,3637.58,South,Support,C1337,Withdrawal,6.53,0,
T100234,04-05-2024,64.31,West,Corporate,C1471,Deposit,2.26,0,
T100235,05-04-2025,348.3,East,Retail,C2438,Transfer,3.8,0,
T100236,28-06-2024,135.61,North,Risk,C1288,Withdrawal,3.84,0,
T100237,16-01-2024,832.91,West,Retail,C1373,Withdrawal,5.21,0,C200068
T100238,15-02-2025,57.94,West,Online,C2332,Transfer,2.97,0,C200069
T100239,22-04-2024,611.29,North,Online,C2630,Transfer,5.68,0,
T100240,23-08-2025,189.42,South,Support,C2145,Transfer,6.97,0,
T100241,31-08-2025,167.17,South,Online,C1346,Payment,4.59,0,
T100242,06-08-2025,71.11,South,Risk,C1632,Deposit,2.7,0,
T100243,24-08-2024,230.88,West,Retail,C1035,Payment,5.27,0,C200070
T100244,10-01-2024,1482.37,West,Online,C1724,Payment,4.89,0,
T100245,15-08-2025,391.42,West,Online,C2476,Withdrawal,5.13,0,
T100246,30-09-2024,856.81,North,Support,C1458,Payment,5.82,0,
T100247,08-09-2025,2973.72,North,Online,C2249,Transfer,6.4,0,C200071
T100248,06-09-2025,553.64,South,Retail,C1890,Payment,4.23,0,C200072
T100249,28-06-2025,206.32,South,Corporate,C1801,Transfer,4.34,0,C200073
T100250,06-07-2024,706.77,North,Retail,C2400,Deposit,4.51,0,
T100251,02-09-2024,209.94,South,Online,C2596,Withdrawal,3.65,0,
T100252,27-06-2025,220.23,North,Online,C2211,Payment,2.32,0,
T100253,21-07-2024,65.11,West,Online,C2775,Deposit,3.3,0,
T100254,18-04-2024,1226,West,Support,C2026,Payment,8.1,0,C200074
T100255,21-12-2024,253.86,East,Risk,C1005,Payment,1.39,0,
T100256,20-08-2025,501.96,North,Retail,C2427,Payment,2.21,0,
T100257,20-03-2025,116.38,Central,Online,C2795,Deposit,3.92,0,
T100258,29-12-2024,680.71,Central,Corporate,C1612,Payment,5.99,0,
T100259,02-03-2024,161.69,North,Support,C1308,Transfer,2.47,0,C200075
T100260,27-01-2025,340.34,West,Risk,C1358,Payment,4.86,0,
T100261,23-09-2025,1156.77,Central,Online,C2862,Payment,5.27,0,
T100262,30-03-2024,1042.01,East,Retail,C1957,Deposit,4.66,0,
T100263,26-11-2024,392.9,South,Corporate,C1507,Transfer,5.16,0,C200076
T100264,13-07-2025,48.34,East,Support,C1464,Withdrawal,2.03,0,
T100265,17-04-2025,14637.95,East,Retail,C2701,Payment,8.47,0,C200077
T100266,20-03-2025,3278.14,South,Retail,C1675,Withdrawal,3.9,0,C200078
T100267,24-03-2025,960.27,Central,Support,C1801,Withdrawal,5.23,0,
T100268,17-08-2024,163.39,West,Retail,C1517,Payment,4.22,0,
T100269,06-07-2024,352.02,South,Corporate,C1998,Transfer,4.43,0,
T100270,31-05-2025,210.17,East,Corporate,C1383,Deposit,3.65,0,
T100271,31-05-2025,1838.36,West,Retail,C1961,Withdrawal,6.54,0,
T100272,07-07-2025,552.8,North,Online,C2937,Payment,4.45,0,
T100273,05-08-2025,157.43,South,Retail,C1489,Transfer,2.24,0,
T100274,22-11-2024,229.31,Central,Online,C1538,Withdrawal,3.51,0,
T100275,15-11-2024,1549.09,East,Retail,C1550,Payment,5.78,0,
T100276,24-05-2025,2752.09,North,Risk,C2512,Transfer,5.41,0,
T100277,18-02-2025,2525,North,Corporate,C2330,Deposit,5.62,0,
T100278,23-03-2025,1000.68,East,Retail,C2298,Deposit,6.29,0,
T100279,22-05-2025,297.93,East,Corporate,C1607,Withdrawal,3.79,0,C200079
T100280,21-07-2025,8.25,South,Support,C2879,Payment,1.95,0,
T100281,03-08-2024,576.28,West,Risk,C1161,Deposit,4.74,0,
T100282,27-08-2024,402.54,North,Online,C1600,Transfer,6.01,0,
T100283,29-02-2024,477.22,North,Support,C2270,Payment,4.9,0,
T100284,03-01-2025,430.38,East,Risk,C2559,Transfer,5.73,0,
T100285,23-01-2024,82.14,North,Support,C1664,Deposit,2.75,0,
T100286,24-10-2024,787.52,Central,Corporate,C1843,Payment,7.29,0,
T100287,12-12-2024,861.49,North,Risk,C1861,Deposit,6.25,0,
T100288,01-07-2024,914.89,West,Support,C1242,Deposit,7.29,0,
T100289,11-01-2025,1256.26,South,Online,C2733,Payment,5.76,0,C200080
T100290,20-01-2024,832.86,South,Risk,C1029,Deposit,4.5,0,
T100291,24-01-2024,246.65,West,Risk,C1480,Deposit,4.1,0,
T100292,08-06-2025,370.55,East,Support,C2742,Payment,4.91,0,
T100293,17-08-2024,450.05,West,Retail,C1220,Payment,5.03,0,
T100294,22-03-2024,459.09,East,Online,C2589,Payment,4.32,0,
T100295,29-11-2024,1336.57,East,Online,C1370,Payment,5.55,0,
T100296,06-05-2025,873.41,West,Support,C2101,Withdrawal,5.57,0,
T100297,17-05-2024,4879.57,East,Corporate,C1119,Payment,5.5,0,
T100298,01-02-2025,5697.39,East,Corporate,C2816,Deposit,6.14,0,
T100299,24-02-2024,443.89,West,Retail,C2772,Deposit,6.39,0,
T100300,02-02-2024,4.04,Central,Retail,C1509,Payment,3.08,0,
T100301,05-12-2024,1779.7,South,Support,C2916,Transfer,4.81,0,
T100302,10-12-2024,210.93,East,Corporate,C2796,Transfer,6.54,0,C200081
T100303,10-02-2025,154.2,North,Online,C1513,Transfer,3.09,0,C200082
T100304,08-04-2025,250.1,South,Corporate,C2390,Payment,4.87,0,C200083
T100305,14-09-2025,236.05,South,Support,C2103,Payment,5.94,0,C200084
T100306,25-11-2024,841.11,Central,Corporate,C2382,Payment,4.28,0,C200085
T100307,25-07-2024,62.1,East,Risk,C1190,Payment,2.06,0,C200086
T100308,22-05-2025,110.69,West,Support,C2659,Deposit,4.41,0,
T100309,21-06-2024,608.98,North,Risk,C2717,Payment,4.92,0,
T100310,07-10-2024,851.95,East,Support,C2957,Payment,4.83,0,
T100311,20-02-2024,871.18,Central,Online,C2659,Transfer,3.64,0,
T100312,17-01-2024,156.89,South,Support,C2040,Payment,5.64,0,
T100313,06-09-2025,124.72,North,Support,C1030,Payment,4.2,0,
T100314,17-06-2025,219.65,East,Support,C1896,Transfer,5.12,0,
T100315,20-03-2025,537.99,West,Support,C2157,Transfer,6.32,0,
T100316,17-09-2024,2398.44,East,Retail,C2246,Payment,3.89,0,C200087
T100317,20-04-2024,34.57,East,Risk,C2093,Payment,3.23,0,
T100318,09-04-2024,309.55,West,Support,C2827,Payment,2.72,0,
T100319,08-06-2024,81.51,South,Support,C1391,Transfer,4.5,0,
T100320,16-12-2024,55.55,West,Retail,C2116,Withdrawal,4.95,0,
T100321,31-03-2025,1287.36,North,Corporate,C2096,Payment,5.43,0,
T100322,25-02-2025,775.53,South,Retail,C2161,Payment,5.1,0,
T100323,27-06-2024,691.82,West,Retail,C1023,Withdrawal,5.79,0,
T100324,01-09-2025,1218.32,Central,Retail,C1446,Deposit,6.07,0,C200088
T100325,15-04-2025,226.86,West,Support,C1167,Deposit,4.05,0,
T100326,19-12-2024,240.05,West,Retail,C1769,Payment,5.21,0,C200089
T100327,25-01-2025,5557.35,South,Retail,C2299,Transfer,6.28,0,C200090
T100328,24-09-2024,300.1,North,Retail,C1288,Transfer,4.88,0,
T100329,07-06-2024,974.73,North,Support,C2037,Deposit,3.84,0,
T100330,15-08-2024,406.53,Central,Online,C2503,Withdrawal,6.11,0,
T100331,28-04-2025,43.91,Central,Online,C1437,Payment,2.13,0,
T100332,10-01-2024,34.69,Central,Corporate,C1054,Payment,3.39,0,
T100333,15-03-2024,201.39,North,Support,C2316,Payment,2.88,0,
T100334,30-01-2024,1432.71,East,Retail,C1727,Payment,5.08,0,
T100335,26-01-2024,1038.93,West,Retail,C2384,Deposit,4.77,0,
T100336,29-06-2025,1208.21,West,Retail,C1083,Payment,6.12,0,
T100337,24-03-2025,123.41,West,Online,C1368,Payment,5.67,0,
T100338,29-10-2024,2804.69,West,Retail,C2925,Deposit,5.17,0,
T100339,03-03-2024,126.74,South,Retail,C2184,Payment,2.82,0,C200091
T100340,09-11-2024,520.81,North,Online,C1895,Payment,6.15,0,
T100341,29-10-2024,398.45,North,Retail,C1305,Payment,3.86,0,
T100342,20-04-2024,327.46,North,Corporate,C2499,Transfer,7.36,0,
T100343,03-10-2024,2010.85,South,Risk,C2482,Payment,4.58,0,
T100344,11-09-2024,173.1,North,Corporate,C2763,Payment,5,0,
T100345,27-01-2025,79.88,South,Support,C2619,Payment,1.75,0,
T100346,09-02-2025,413.23,West,Corporate,C1709,Transfer,3.52,0,C200092
T100347,29-01-2024,249.69,Central,Corporate,C1199,Payment,3.21,0,
T100348,27-08-2024,23222.1,Central,Online,C1334,Withdrawal,6.85,0,
T100349,03-02-2025,908.51,South,Support,C2365,Payment,6.29,0,
T100350,17-11-2024,246.85,North,Corporate,C1178,Payment,4.33,0,C200093
T100351,30-06-2025,113.6,North,Risk,C1449,Transfer,5.2,0,
T100352,24-02-2025,42.25,Central,Corporate,C2724,Payment,4.12,0,
T100353,13-04-2024,117.89,East,Retail,C2179,Payment,2.67,0,
T100354,15-02-2024,463.09,North,Online,C1739,Withdrawal,4.69,0,
T100355,13-02-2025,2236.78,Central,Retail,C1867,Payment,7.39,0,
T100356,17-01-2024,1550.03,South,Support,C2195,Transfer,4.64,0,
T100357,08-01-2025,531.08,Central,Support,C1977,Payment,5.6,0,
T100358,22-08-2025,273.75,South,Online,C2419,Withdrawal,3.58,0,
T100359,02-01-2025,557.01,South,Corporate,C2234,Deposit,3.8,0,
T100360,04-09-2024,216.51,East,Support,C2592,Payment,3.93,0,
T100361,14-02-2025,3171.74,Central,Risk,C1665,Transfer,4.84,0,
T100362,19-10-2024,321.49,Central,Online,C1024,Payment,6.05,0,
T100363,14-12-2024,363.72,East,Retail,C1475,Deposit,1.26,0,
T100364,23-08-2025,28.25,South,Risk,C1782,Payment,3.5,0,
T100365,03-09-2024,319.09,South,Online,C1201,Transfer,5.18,0,
T100366,05-09-2025,1100.79,Central,Risk,C2894,Transfer,4.88,0,
T100367,31-07-2025,112.03,East,Online,C1609,Payment,1.42,0,
